| venue_id | name | acronym | type | area | publisher_or_organizer | official_url | quartile_or_rank | ranking_source | indexing | venue_family | q1_accessibility_class | accessibility_rationale | accessibility_confidence | realistic_publication_chance | recommended_submission_strategy | difficulty | best_for | desk_reject_risks | relevance_to_my_fields | paper_profiles_supported | time_to_first_decision | time_to_acceptance | time_acceptance_to_online | estimated_total_publication_time | publication_speed_category | review_rigor | expected_review_rounds | fast_track_available | online_first_available | data_descriptor_format_available | software_article_format_available | timeline_confidence | timeline_source | suitability_if_fast_publication_needed | notes_on_publication_delay | recent_related_papers | verification_links | notes |
|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|---|
| V1 | IEEE Transactions on Parallel and Distributed Systems | TPDS | journal | architecture/HPC/cloud | IEEE Computer Society | https://www.computer.org/csdl/journal/td | Q1 in Computational Theory & Mathematics, Hardware & Architecture, Signal Processing; SJR≈2.10 | Scimago/Resurchify 2024–2025[web:30][web:39] | Scopus; Web of Science[web:42] | 1 | elite Q1 | Flagship parallel/distributed systems journal with very high SJR and h-index; widely regarded as top-tier. | high | low–moderate | ambitious target | very high | architecture, cloud/system implementation, sustainability/energy | High if scope mismatch (pure theory ML, narrow education focus) | Cloud scheduling, datacenter simulation, energy-aware computing, heterogeneous architectures | applied ML; cloud/distributed; energy-aware computing; systems; architecture | not verified | not verified | not verified | not verified | medium–slow (≥6 months, not verified) | very rigorous | likely 2 rounds | unknown | likely yes (Early Access via IEEE Xplore) | no | no | low | not verified (no official stats) | low (prestige over speed) | not verified | https://www.researchbite.com/impact/details/26098[web:30]; https://www.scimagojr.com/journalsearch.php?q=26098&tip=sid[web:39] | Treat as top-ambition for systems/cloud/green-computing work. |
| V2 | Future Generation Computer Systems | FGCS | journal | architecture/HPC/cloud | Elsevier B.V. | https://www.sciencedirect.com/journal/future-generation-computer-systems | Q1 in Computer Networks & Communications, Hardware & Architecture, Software; SJR≈1.55–2.04 | Scimago/Resurchify 2024–2025[web:31][web:34][web:37] | Scopus; Web of Science[web:40] | 1 | strong Q1 | High SJR, large but selective; core for cloud, distributed, edge, green and data-center systems. | high | moderate | ambitious or realistic Q1 (depending on paper strength) | high | architecture, cloud/system implementation, sustainability/energy | Medium if off-topic (pure education, very narrow ML theory) | Cloud computing, edge/serverless, scheduling, green computing, simulation platforms | cloud/distributed; sustainability/energy; software/platform; systems | not verified | not verified | not verified | not verified | medium–slow (not verified) | rigorous | likely 2 rounds | no explicit | likely yes (online first) | no | no | low | not verified | low–medium | https://www.resurchify.com/impact/details/12264[web:34]; https://www.scimagojr.com/journalsearch.php?q=12264&tip=sid[web:37] | Very suitable for CloudSim/CloudSim Plus, energy-aware scheduling, heterogeneous data centers. |
| V3 | Journal of Parallel and Distributed Computing | JPDC | journal | architecture/HPC/cloud | Academic Press / Elsevier | https://www.sciencedirect.com/journal/journal-of-parallel-and-distributed-computing | Q1 in Computer Networks & Communications, Hardware & Architecture, Software; AI Q2; SJR≈0.98 | Scimago/Resurchify 2025[web:35] | Scopus; Web of Science[web:41] | 1 | strong Q1 | Q1 in core systems categories but below TPDS/FGCS in SJR; good reputation and strong applied focus. | high | moderate–reasonable | realistic target | high | cloud/system implementation, sustainability/energy | Medium if not clearly systems-oriented (pure pedagogy or only ML theory). | Parallel/distributed systems, resource allocation, simulation, scheduling, green computing. | cloud/distributed; energy-aware computing; systems; software/platform | not verified | not verified | not verified | not verified | medium (6–9 months, not verified) | rigorous | likely 2 rounds | unknown | likely yes | no | no | low | not verified | medium | https://www.resurchify.com/impact/details/25621[web:35] | Strong target for solid, experimental systems work, including CloudSim-based schedulers. |
| V4 | Pattern Recognition | PR | journal | ML/CV/biometrics/doc AI | Elsevier | https://www.sciencedirect.com/journal/pattern-recognition | Q1 in Artificial Intelligence, Computer Vision & Pattern Recognition, Signal Processing, Software; SJR≈2.06; IF≈9.8 | Scimago/Resurchify 2024–2025[web:153][web:156][web:160] | Scopus; Web of Science[web:162] | 2,3,4,6 | strong Q1 | High SJR and impact, but below TPAMI/IJCV; publishes many strong but applied CV/biometrics/doc-analysis works. | high | moderate | ambitious or realistic Q1 (depending on novelty) | high | applied AI, computer vision, biometrics/security, HTR/OCR/document analysis, dataset/benchmark | High if weak evaluation, narrow dataset, or incremental without positioning. | FAS/PAD, robust CV evaluation, document analysis, HTR, domain adaptation, OOD generalization. | applied AI; computer vision; biometrics/security; HTR/OCR/document analysis; dataset/benchmark | not verified | not verified | not verified | not verified | medium–slow (not verified) | rigorous | likely 2 rounds | no | yes (online first) | no | no | low | not verified | low–medium | https://www.resurchify.com/impact/details/24823[web:156]; https://www.scimagojr.com/journalsearch.php?q=24823&tip=sid[web:160] | One of your best cross-cutting venues: FAS, HTR, robust evaluation and architecture-aware CV all fit. |
| V5 | Pattern Recognition Letters | PRL | journal | ML/CV/biometrics/doc AI | Elsevier | https://www.sciencedirect.com/journal/pattern-recognition-letters | AI journal; SJR≈1.0; IF≈4.5 (2024) | Resurchify/Scimago 2025[web:154][web:157][web:166][web:163] | Scopus; Web of Science[web:166] | 2,3,4,6 | mid-tier Q1 (likely) | Lower SJR than PR; shorter-format, focused contributions; still reputable and well indexed. | medium | reasonable | realistic Q1 target | medium–high | applied AI, computer vision, biometrics/security, HTR/OCR/document analysis | Medium if scope mismatch (pure education, very agricultural with no CV/PR angle). | Compacted FAS/HTR methods, robust evaluation notes, dataset/test protocol notes. | applied AI; computer vision; biometrics/security; HTR/OCR/document analysis; dataset/benchmark | not verified | not verified | not verified | not verified | medium (not verified) | rigorous–moderate | likely 1–2 rounds | no | yes | no | no | low | not verified | high (relative to elite tier) | https://www.resurchify.com/impact/details/24825[web:154]; https://www.scimagojr.com/journalsearch.php?q=24825&tip=sid[web:157] | Good place for strong but narrower FAS/HTR contributions with solid experimentation. |
| V6 | IEEE Transactions on Pattern Analysis and Machine Intelligence | TPAMI | journal | ML/CV | IEEE Computer Society | https://www.computer.org/csdl/journal/tp | Q1 in CVPR & AI; extremely high SJR and IF | Scimago/Resurchify, IEEE metrics[web:53][web:56][web:59][web:65][web:76] | Scopus; Web of Science | 2,3 | elite Q1 | Top CV/ML journal; extremely selective; used for foundational advances. | high | very low | ambitious target | very high | theoretical, applied AI, computer vision | Very high if incremental or dataset-only; expects major conceptual contributions. | Foundational robust CV/ML, OOD theory, major FAS or HTR breakthroughs. | theoretical; applied AI; computer vision; biometrics/security | not verified | not verified | not verified | not verified | slow (likely >9 months; not verified) | very rigorous | likely 2–3+ rounds | no | yes | no | no | low | not verified | very low (do not use for speed) | https://www.resurchify.com/impact/details/24254[web:53]; https://www.scimagojr.com/journalsearch.php?q=24254&tip=sid[web:56] | Use only for truly top-tier contributions. |
| V7 | International Journal of Computer Vision | IJCV | journal | CV | Springer | https://www.springer.com/journal/11263 | Q1 in CS; SJR≈3.1; IF≈12.8 | Scimago/Resurchify[web:54][web:57][web:63] | Scopus; Web of Science | 3 | elite Q1 | One of the top CV journals; very high impact and prestige. | high | very low | ambitious target | very high | computer vision, robust evaluation, domain generalization | High if incremental or narrow; needs strong conceptual or empirical advance. | Deep CV architectures, robust evaluation, domain/generalization analyses. | computer vision; applied AI; dataset/benchmark | not verified | not verified | not verified | not verified | slow (not verified) | very rigorous | likely 2–3+ rounds | no | yes | no | no | low | not verified | very low (not for speed) | https://www.resurchify.com/impact/details/72242[web:57]; https://www.scimagojr.com/journalsearch.php?q=72242&tip=sid[web:63] | Excellent but demanding option for robust CV/HTR/FAS papers. |
| V8 | Journal of Machine Learning Research | JMLR | journal | ML | Microtome Publishing | https://www.jmlr.org | Q1 in AI, Control & Systems Eng, Software, Statistics; SJR≈2.0; h-index 280 | Scimago/ResearchBite[web:61][web:64] | Scopus | 2,12 | elite Q1 | Top ML journal, especially for theoretical work; selective. | high | very low for applied-only | ambitious target | very high | theoretical, representation learning, robust generalization | High if mostly applied CV/education/agri without strong ML novelty. | ML theory of domain adaptation/OOD, representation learning, diagnostics. | theoretical; applied AI; dataset/benchmark | not verified | not verified | not verified | not verified | slow (not verified) | very rigorous | likely 2+ | no | online | no | no | low | not verified | very low for speed | https://www.researchbite.com/impact/details/20969[web:58][web:61] | Reserve for ML-centric, theory-heavy work. |
| V9 | IEEE Transactions on Information Forensics and Security | TIFS | journal | biometrics/security | IEEE | https://signalprocessingsociety.org/publications-resources/ieee-transactions-information-forensics-and-security | Q1 in Communications & Safety; SJR≈2.14; IS≈9.65 | Scimago/Resurchify[web:111][web:117][web:114] | Scopus; Web of Science[web:114] | 4 | elite/strong Q1 | Flagship for information forensics, security and biometrics. | high | low | ambitious target | very high | biometrics/security, FAS/PAD, deepfake detection | High if work is only incremental or lacks strong security framing. | FAS/PAD with security angle, template protection, forensics. | biometrics/security; computer vision | not verified | not verified | not verified | not verified | slow (not verified) | very rigorous | likely 2–3 | no | yes | no | no | low | not verified | very low | https://www.researchbite.com/impact/details/4000149002[web:111]; https://www.scimagojr.com/journalsearch.php?q=4000149002&tip=sid[web:117] | Key target for security-centric FAS/PAD and deepfake work. |
| V10 | IET Biometrics | IETB | journal | biometrics | Wiley / IET | https://ietresearch.onlinelibrary.wiley.com/journal/20474946 | Q2 in CVPR; IF≈2.45; SJR≈0.65 | Scimago/Resurchify[web:118][web:116][web:110] | Scopus; Web of Science[web:122] | 4 | strong Q2 | Specialized biometric venue with good but not top-tier metrics. | high | reasonable | realistic Q2 fallback | medium–high | biometrics/security (PAD, FAS, template protection) | Medium if outside biometrics (pure cloud/edtech/agri). | Lightweight/real-time FAS, explainable FAS, biometric security systems. | biometrics/security; software/platform | not verified (only anecdotal 33 weeks) | ≈33 weeks avg review cycle from Chinese summary (unofficial)[web:110] | not verified | not verified | medium (≈8 months, low-confidence) | rigorous–moderate | likely 1–2 | no | online first | no | no | low | author reports on Chinese site (low–medium) | medium if speed is crucial | https://www.scimagojr.com/journalsearch.php?q=21100216567&tip=sid[web:118]; https://www.researchbite.com/impact/details/21100216567[web:116] | Good specialist home for strong FAS/PAD with reasonable acceptance chance. |
| V11 | International Journal on Document Analysis and Recognition | IJDAR | journal | document analysis/HTR | Springer | https://www.springer.com/journal/10032 | SJR≈0.83; quartile not clearly exposed but likely Q2 in CS/AI | Resurchify/Scimago[web:81][web:79][web:83] | Scopus; Web of Science[web:83][web:85] | 5,6 | strong Q2 (medium-confidence) | Core DA/OCR/HTR journal, but SJR lower than PR. | medium | reasonable | realistic target | medium | HTR/OCR/document analysis, dataset/protocol work | Medium if work is purely FAS or agri without document angle. | HTR, multilingual HTR, low-resource HTR datasets, annotation protocols. | HTR/OCR/document analysis; dataset/benchmark | not verified | not verified | not verified | not verified | medium (not verified) | rigorous | likely 2 | no | online first | no | no | low | not verified | medium | https://www.resurchify.com/impact/details/130138[web:81]; https://www.scimagojr.com/journalsearch.php?q=130138&tip=sid[web:79] | Primary journal for HTR/OCR/document analysis in your portfolio. |
| V12 | IET Image Processing | IET-IP | journal | CV/doc analysis | Wiley / IET | https://ietresearch.onlinelibrary.wiley.com/journal/17519667 | Best quartile Q2; SJR≈0.51; IS≈2.73 | ResearchBite/Scimago[web:158][web:155][web:161][web:164] | Scopus; Web of Science | 5 | strong Q2 | Well-indexed, moderate SJR; good for applied CV and doc-analysis. | high | reasonable | realistic Q2 fallback | medium–high | computer vision, document analysis | Medium if scope mismatch (education-only or pure chemometrics). | Applied CV/HTR/DocAI with solid experimentation. | computer vision; HTR/OCR/document analysis | not verified | not verified | not verified | not verified | medium (not verified) | moderate–rigorous | likely 1–2 | no | online first | no | no | low | not verified | medium–high | https://www.researchbite.com/impact/details/5400152646[web:158]; https://www.scimagojr.com/journalsearch.php?q=5400152646&tip=sid[web:164] | Good “workhorse” Q2 venue for CV/HTR/DocAI. |
| V13 | Computers & Education | C&E | journal | EdTech / CS Ed | Elsevier | https://www.sciencedirect.com/journal/computers-and-education | Q1 in Education and CS Applications; very high IF and h-index[web:12][web:21][web:77] | Scopus; Web of Science | 6,7 | elite Q1 | Leading EdTech journal; extremely competitive. | high | low | ambitious target | very high | educational technology, computing education systematic reviews | High if weak methodology or small, uncontrolled studies. | CS1, K–12 computing, CT, AI-supported programming, robust evaluation, PRISMA reviews. | educational technology; computing education; systematic review | not verified | not verified | not verified | not verified | slow (likely >9 months; not verified) | very rigorous | likely 2–3 | no | yes | no | no | low | not verified | low | https://www.scimagojr.com/journalsearch.php?q=17645&tip=sid[web:12]; bibliometric analyses showing Q1 dominance[web:70][web:73] | Your top option for high-impact EdTech/CS‑ed work, but very demanding. |
| V14 | Education and Information Technologies | EAIT | journal | EdTech | Springer | https://www.springer.com/journal/10639 | Q1 in Education; IF≈5.4 (2025)[web:75][web:84][web:80] | Scopus; Web of Science[web:80] | 6 | strong Q1 | High-quality but more accessible than C&E; broad EdTech scope. | high | moderate | realistic Q1 target | high | educational technology | Medium if weak methods or off-topic. | Programming education, CT, AI-in-education, curriculum analysis. | educational technology; computing education; systematic review | not verified | not verified | not verified | not verified | medium (not verified) | rigorous | likely 2 | no | yes | no | no | low | not verified | medium–high | https://www.resurchify.com/impact/details/144955[web:84]; https://journalsearches.com/journal.php?title=education+and+information+technologies[web:75] | Very good balance between quality and realism for EdTech. |
| V15 | IEEE Transactions on Learning Technologies | TLT | journal | EdTech / learning analytics | IEEE | https://www.scimagojr.com/journalsearch.php?q=19700167026&tip=sid | Q1 in CS Applications, Education, E-learning; SJR≈1.14; IS≈5.7[web:11][web:17][web:14][web:20] | Scopus; Web of Science[web:20] | 6,7 | strong Q1 | High-quality IEEE EdTech venue, strong on learning technologies. | high | moderate | ambitious/realistic Q1 | high | educational technology, learning analytics | Medium if purely qualitative with limited tech. | AI-supported programming, learning analytics, adaptive systems in CS1. | educational technology; computing education | not verified | not verified | not verified | not verified | medium (not verified) | rigorous | likely 2 | no | yes | no | no | low | not verified | medium | https://www.researchbite.com/impact/details/19700167026[web:11]; https://www.scimagojr.com/journalsearch.php?q=19700167026&tip=sid[web:17] | Good alternative to C&E with strong tech focus. |
| V16 | ACM Transactions on Computing Education | TOCE | journal | CS education | ACM | https://dl.acm.org/journal/toce | Q1 in CS(misc.) and Education; SJR≈0.78; CiteScore≈7.2[web:10][web:22][web:13][web:19] | Scopus; Web of Science | 7 | strong Q1 | Flagship CS-ed journal; smaller volume than C&E/EAIT; rigorous. | high | low–moderate | ambitious/realistic Q1 | very high | computing education, CS1/CS2, curriculum guidelines (ACM/IEEE), systematic reviews | High if weak study design or very narrow population. | CS1, CT, architecture education, RISC-V education. | computing education; engineering education; systematic review | not verified | not verified | not verified | not verified | slow (likely >9 months; not verified) | very rigorous | likely 2–3 | no | online | no | no | low | not verified | low | https://journalsearches.com/journal.php?title=acm+transactions+on+computing+education[web:10]; https://www.scimagojr.com/journalsearch.php?q=19700183047&tip=sid[web:22] | Primary outlet for CS-ed work. |
| V17 | Computers and Electronics in Agriculture | CEA | journal | agri AI / HSI / food | Elsevier | https://www.sciencedirect.com/journal/computers-and-electronics-in-agriculture | Q1 in Agronomy & Crop Science, Animal Science & Zoology, CS Applications; SJR≈1.58–1.83; IF≈10.7[web:90][web:93][web:96][web:98][web:101] | Scopus; Web of Science[web:101] | 9,10,11 | strong Q1 | Very strong agri+computing journal, high impact and citations. | high | moderate | ambitious/realistic Q1 | high | agriculture/remote sensing; hyperspectral imaging; food safety/chemometrics | Medium if too educational or architectural with no agri focus. | Wheat detection, NIR-HSI cereal contamination, DON screening, precision agriculture ML. | agriculture/remote sensing; hyperspectral imaging; food safety/chemometrics; applied AI | not verified | not verified | not verified | not verified | medium (not verified) | rigorous | likely 2 | no | yes | no | no | low | not verified | medium | https://www.resurchify.com/impact/details/30441[web:96]; https://www.scimagojr.com/journalsearch.php?q=30441&tip=sid[web:98] | Core for your agricultural AI + HSI + DON/mycotoxin work. |
| V18 | Precision Agriculture | PA | journal | precision ag | Springer | https://link.springer.com/journal/11119 | Q1 in Agricultural & Biological Sciences; SJR≈1.21–1.34 | Scimago/ResearchBite[web:91][web:94][web:99] | Scopus; Web of Science[web:99] | 9,10 | strong Q1 | Key precision ag journal, slightly narrower than CEA. | high | moderate | ambitious/realistic Q1 | high | agriculture/remote sensing, AI for sustainability | Medium if focus is purely CV/ML with little agri relevance. | Field-scale detection, precision wheat monitoring, sustainability-focused agri AI. | agriculture/remote sensing; AI for sustainability | not verified | not verified | not verified | not verified | medium (not verified) | rigorous | likely 2 | no | yes | no | no | low | not verified | medium | https://journalsearches.com/journal.php?title=precision+agriculture[web:91]; https://www.researchbite.com/impact/details/86245[web:94] | Excellent for agronomy-focused AI. |
| V19 | Chemometrics and Intelligent Laboratory Systems | ChemoLab | journal | chemometrics/HSI | Elsevier | https://www.sciencedirect.com/journal/chemometrics-and-intelligent-laboratory-systems | Best quartile Q2; SJR≈0.65; IS≈4.2–4.6 | Scimago/Resurchify[web:92][web:95][web:100] | Scopus; Web of Science | 11 | strong Q2 | Main chemometrics journal; widely respected. | high | moderate–reasonable | realistic Q2 target | high | hyperspectral imaging; chemometrics; calibration transfer; spectral ML | Medium if paper is pure CV/doc analysis with no chemometric angle. | NIR-HSI, calibration transfer, DON/mycotoxin modeling, batch effects. | hyperspectral imaging; food safety/chemometrics; agriculture/remote sensing; applied AI | not verified | not verified | not verified | not verified | medium (not verified) | rigorous | likely 2 | no | yes | no | yes (Original Software Publications)[web:103] | low | not verified | medium | https://www.researchbite.com/impact/details/24595[web:95]; https://www.sciencedirect.com/journal/chemometrics-and-intelligent-laboratory-systems[web:103] | Ideal for your chemometrics + HSI + calibration transfer work (including software papers). |
| V20 | Scientific Data | SciData | journal | data descriptors | Nature Research | https://www.nature.com/sdata | Q1 in CS Applications, Education, Info Systems, LIS, Statistics; SJR≈1.87; IF≈6.9 | Scimago/Resurchify/Clarivate[web:130][web:133][web:139][web:136] | Scopus; Web of Science[web:139] | 13 | strong Q1 | High-impact data journal with strict standards. | high | moderate | data descriptor target | high | dataset/benchmark; data descriptor; open science | High if metadata, documentation or reuse story are weak. | Datasets/benchmarks in FAS, HTR, agri HSI, robust ML evaluation protocols. | dataset/benchmark; data descriptor | 4 days (median) | 167 days (median submission→acceptance, 2024)[web:136] | not verified | not verified | medium (5–6 months to acceptance) | rigorous | likely 2 | no | yes | yes | limited | high | official journal metrics page[web:136] | low–medium (not optimized for speed) | "Large Language Models in Ophthalmology" style data‑intensive work; analogous data papers show structured curation[web:68] | https://www.nature.com/sdata[web:136]; https://journalsearches.com/journal.php?title=scientific+data[web:130] | Top choice for major datasets/benchmarks; prepare for demanding data curation. |
| V21 | Data in Brief | DiB | journal | data descriptors | Elsevier | https://www.sciencedirect.com/journal/data-in-brief | Best quartile Q2 (Multidisciplinary); SJR≈0.26; IF≈1.4–1.5 | Scimago/ResearchBite/AskBisht[web:134][web:131][web:137][web:143] | Scopus; Web of Science[web:140] | 13 | strong Q2 | Lower prestige but widely used OA data journal. | high | reasonable | fallback data descriptor target | high | dataset/benchmark; data descriptor; open science | Medium if data are narrow or poorly documented. | Publishing clean datasets accompanying venue papers (FAS/HTR/HSI, etc.). | dataset/benchmark; data descriptor | not verified | not verified | not verified | not verified | fast–medium (anecdotally) | moderate | likely 1–2 | no | yes | yes | no | low | not verified | high | https://www.researchbite.com/impact/details/21100372856[web:134]; https://journalsearches.com/journal.php?title=data+in+brief[web:131] | Good companion to PR/CEA/etc. for data publication. |
| V22 | Journal of Open Source Software | JOSS | journal | software | Open Journals | https://joss.theoj.org | No quartile (not in Scimago); peer‑reviewed software journal | Wikipedia/GitHub discussions[web:135][web:141][web:144] | Indexed in some scholarly indices; not (yet) in Web of Science (Clarivate ticket)[web:141] | 14 | not enough information (re Q‑class) | Widely respected in OSS research community, but not a Q1/Q2 journal. | medium | reasonable | software/platform target | medium–high | software/platform; reproducibility | Medium if paper is more ML/HTR/chemometrics science than software. | CloudSim/CloudSim Plus extensions, HTR/FAS toolkits, reproducible pipelines. | software/platform; reproducibility | not verified | not verified | not verified | not verified | fast (often weeks; anecdotal) | moderate | likely 1 | no | online | no | yes (software papers) | low | community reports (unofficial) | high for speed | https://joss.theoj.org[web:135]; https://en.wikipedia.org/wiki/Journal_of_Open_Source_Software[web:144] | Excellent for making your simulators and toolkits citable, to be combined with a Q1/Q2 "science" paper. |